,titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,published_year,first_published,series,genres,awards,places,url
27,['Jane Eyre'],['Charlotte Brontë'],[48178],[1779530],[4.13],[532],[2003],[1847],[0],"[['Classics', 'Fiction', 'Romance']]",[None],"[['Thornfield Hall', 'England', 'United Kingdom']]",['https://www.goodreads.com/book/show/10210.Jane_Eyre']
28,['The Host'],['Stephenie Meyer'],[42185],[952752],[3.85],[624],[2008],[None],[1],"[['Young Adult', 'Science Fiction', 'Fantasy']]",[None],[['Arizona']],['https://www.goodreads.com/book/show/1656001.The_Host']
29,"[""Harry Potter and the Sorcerer's Stone""]",['J.K. Rowling'],[125855],[7987376],[4.47],[309],[2003],[1997],[1],"[['Fantasy', 'Fiction', 'Young Adult']]","[[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year Award for Children (1999)', 'Audie Award (2000)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']]","[['London, England', 'Hogwarts School of Witchcraft and Wizardry', 'Hogwarts School of Witchcraft and Wizardry']]",['https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone']
30,['The Elephant Tree'],['R.D. Ronald'],[362],[97553],[4.19],[252],[2010],[None],[0],"[['Thriller', 'Fiction', 'Mystery']]",[None],[None],['https://www.goodreads.com/book/show/9293020-the-elephant-tree']
31,['Water for Elephants'],['Sara Gruen'],[59865],[1468946],[4.09],[335],[2007],[2006],[0],"[['Fiction', 'Historical > Historical Fiction', 'Romance']]","[['Book Sense Book of the Year Award for Adult Fiction (2007)', 'ALA Alex Award (2007)', 'The Quill Award Nominee for General Fiction (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']]","[['United States of America', 'Joliet, Illinois', 'Ithaca, New York']]",['https://www.goodreads.com/book/show/43641.Water_for_Elephants']
32,['The Westing Game'],['Ellen Raskin'],[11659],[195393],[4.0],[182],[2004],[1978],[0],"[['Mystery', 'Young Adult', 'Fiction']]","[['Newbery Medal (1979)', 'Banta Award', 'Vermont Golden Dome Book Award Nominee (1980)', 'Boston Globe-Horn Book Award for Fiction (1978)', ""National Book Award Finalist for Children's Book, Fiction (Paperback) (1981)"", '']]","[['Westingtown', 'Milwaukee, Wisconsin']]",['https://www.goodreads.com/book/show/902.The_Westing_Game']
33,['The Wasp Factory'],['Iain Banks'],[4853],[97548],[3.8],[192],[1998],[1984],[0],"[['Fiction', 'Horror', 'Thriller']]",[['Kurd-Laßwitz-Preis for Foreign Novel (1992)']],[['Scotland']],['https://www.goodreads.com/book/show/567678.The_Wasp_Factory']
34,['Watchmen'],['Alan Moore'],[15195],[511831],[4.37],[416],[2005],[1987],[1],"[['Sequential Art > Graphic Novels', 'Sequential Art > Comics', 'Fiction']]","[['Hugo Award for Other Forms (1988)', 'Locus Award for Best Non-Fiction/Art (1988)', 'Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production (1988)', ""Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989)"", 'Urhunden Prize for Foreign Album (1992)', '', '']]","[['New York City, New York']]",['https://www.goodreads.com/book/show/472331.Watchmen']
35,['City of Bones'],['Cassandra Clare'],[66570],[1772846],[4.09],[485],[2007],[None],[1],"[['Young Adult', 'Fantasy > Paranormal', 'Romance']]","[['Locus Award Nominee for Best First Novel (2008)', 'Georgia Peach Book Award Nominee for Honor book (2009)', 'South Carolina Book Award Nominee for Young Adult Book Award (2010)', ""Pacific Northwest Library Association Young Reader's Choice Award (2010)"", 'Lincoln Award (2010)']]","[['New York City, New York']]",['https://www.goodreads.com/book/show/256683.City_of_Bones']
36,['Holes'],['Louis Sachar'],[22148],[1054510],[3.98],[233],[2000],[1998],[1],"[['Young Adult', 'Fiction', 'Childrens']]","[['Newbery Medal (1999)', ""National Book Award for Young People's Literature (1998)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001)"", 'Grand Canyon Reader Award for Teen Book (2001)', 'Nene Award (2001)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']]","[['Green Lake, Texas']]",['https://www.goodreads.com/book/show/38709.Holes']
37,['The Picture of Dorian Gray'],['Oscar Wilde'],[39009],[1116896],[4.1],[272],[2004],[1890],[0],"[['Classics', 'Fiction', 'Horror']]",[None],[['England']],['https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray']
