,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
131,Perfume: The Story of a Murderer,Patrick Süskind,16582,380360,4.02,263,1987,1985,0,"['Fiction', 'Classics', 'Historical > Historical Fiction']","['World Fantasy Award for Best Novel (1987)', 'PEN Translation Prize for John E. Woods (1987)']","['Paris', 'Grasse', 'Montpellier', '', '']",https://www.goodreads.com/book/show/343.Perfume
132,Postmortem,Patricia Daniels Cornwell,3177,226532,4.01,342,2003,1990,1,"['Mystery', 'Mystery > Crime', 'Fiction']","['Macavity Award for Best First Mystery Novel (1991)', 'Anthony Award for Best First Novel (1991)', 'CWA New Blood Dagger (1990)', 'Edgar Award for Best First Novel (1991)', 'John Creasey Memorial Award (1990)', '']","['Richmond, Virginia', 'Virginia']",https://www.goodreads.com/book/show/6534.Postmortem
133,The Bone Collector,Jeffery Deaver,3089,175268,4.18,528,1998,1997,1,"['Mystery', 'Thriller', 'Fiction']",['Nero Award (1999)'],"['New York City, New York']",https://www.goodreads.com/book/show/2373.The_Bone_Collector
134,The Lincoln Lawyer,Michael Connelly,6038,213123,4.17,405,2005,,1,"['Mystery', 'Fiction', 'Thriller']","['Macavity Award for Best Mystery Novel (2006)', 'Anthony Award Nominee for Best Novel (2006)', 'Shamus Award for Best PI Hardcover (2006)', 'Edgar Award Nominee for Best Novel (2006)']","['Los Angeles, California', 'Hollywood, California', 'California']",https://www.goodreads.com/book/show/40612032-the-lincoln-lawyer
135,The Pelican Brief,John Grisham,2870,403228,4.02,400,2006,1992,0,"['Fiction', 'Mystery', 'Thriller']",['Evergreen Teen Book Award (1995)'],"['New Orleans, Louisiana', 'Washington, D.C.']",https://www.goodreads.com/book/show/32499.The_Pelican_Brief
136,The Curious Incident of the Dog in the Night-Time,Mark Haddon,47203,1299762,3.89,226,2004,2003,0,"['Fiction', 'Mystery', 'Young Adult']","['Booker Prize Nominee for Longlist (2003)', 'James Tait Black Memorial Prize Nominee for Fiction (2003)', 'Whitbread Award for Novel and Book of the Year (2003)', ""Guardian Children's Fiction Prize (2003)"", 'McKitterick Prize (2004)', '', '', '', '', '', '', '', '', '', '']","['Swindon, England', 'London, England', 'England']",https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
137,Killing Floor,Lee Child,11398,276198,4.05,524,2006,1997,1,"['Thriller', 'Fiction', 'Mystery']","['Barry Award for Best First Novel (1998)', 'Macavity Award Nominee for Best First Mystery Novel (1998)', 'Anthony Award for Best First Novel (1998)', 'Dilys Award Nominee (1998)', 'Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (2000)']","['Margrave, Georgia']",https://www.goodreads.com/book/show/78129.Killing_Floor
138,The Historian,Elizabeth Kostova,16753,258692,3.79,704,2005,,0,"['Fiction', 'Historical > Historical Fiction', 'Fantasy']","['International Horror Guild Award Nominee for Best Novel (2005)', 'Hopwood Award for Novel in-progress (2003)', 'Book Sense Book of the Year Award for Best Adult Fiction (2006)', 'The Quill Award for Debut Author of the Year (2005)', 'Lord Ruthven Award for Fiction (2006)']","['Europe', 'Amsterdam', 'Budapest', '', '']",https://www.goodreads.com/book/show/30236962-the-historian
139,Crime and Punishment,Fyodor Dostoevsky,23602,712927,4.23,671,2002,1866,0,"['Classics', 'Fiction', 'Cultural > Russia']",,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia', '']",https://www.goodreads.com/book/show/7144.Crime_and_Punishment
140,The Day of the Jackal,Frederick Forsyth,2263,133469,4.24,358,1979,1971,0,"['Fiction', 'Thriller', 'Mystery']","['Martin Beck Award (1972)', 'Edgar Award for Best Novel (1972)']","['France', 'Paris']",https://www.goodreads.com/book/show/540020.The_Day_of_the_Jackal
141,Murder on the Orient Express,Agatha Christie,28011,453862,4.18,274,2007,1934,1,"['Mystery', 'Classics', 'Fiction']",['CWA Best Ever Nominee for Crime Novel (2013)'],,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
142,The Poet,Michael Connelly,3364,92389,4.2,510,2002,1996,1,"['Mystery', 'Fiction', 'Mystery > Crime']","['Anthony Award for Best Novel (1997)', 'Hammett Prize Nominee (1996)', 'Dilys Award (1997)', 'Nero Award (1997)', 'Marlowe for Best Crime Novel (International) (1997)']","['Denver, Colorado', 'Chicago, Illinois', 'Phoenix, Arizona', '']",https://www.goodreads.com/book/show/32506.The_Poet
143,Naked in Death,J.D. Robb,6518,179387,4.12,306,1995,,1,"['Mystery', 'Romance', 'Mystery > Crime']",,"['New York City, New York']",https://www.goodreads.com/book/show/479309.Naked_in_Death
144,The Moonstone,Wilkie Collins,4938,90490,3.9,528,2001,1868,0,"['Classics', 'Mystery', 'Fiction']",['CWA Best Ever Nominee for Crime Novel (2013)'],"['United Kingdom', 'England', 'Kathiawar']",https://www.goodreads.com/book/show/6138.The_Moonstone
145,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,11953,248240,3.8,235,2003,1998,1,"['Mystery', 'Fiction', 'Cultural > Africa']",['Martin Beck Award (2004)'],"['Botswana', 'Johannesburg', 'Mafikeng', '', '']",https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency
